ru,en,am,category
анушовна,,,midname
арменович,,,midname
арменовна,,,midname
арсенович,,,midname
арсеновна,,,midname
артюшович,,,midname
арутюнович,,,midname
арутюновна,,,midname
аршакович,,,midname
аршаковна,,,midname
ашотович,,,midname
ашотовна,,,midname
бабкенович,,,midname
бабкеновна,,,midname
багдасарович,,,midname
багдасаровна,,,midname
багратович,,,midname
багратовна,,,midname
ваграмович,,,midname
ваграмовна,,,midname
вазгенович,,,midname
вазгеновна,,,midname
галустович,,,midname
галустовна,,,midname
гургенович,,,midname
гургеновна,,,midname
карапетович,,,midname
карапетовна,,,midname
каренович,,,midname
кареновна,,,midname
мигранович,,,midname
миграновна,,,midname
