value,category
armenian,keyword
armenians,keyword
hayastan,keyword
hayk,keyword
khachkar,keyword
duduk,keyword
tsitsernakaberd,keyword
matenadaran,keyword
catholicos,keyword
vardapet,keyword
grabar,keyword
ashkharabar,keyword
spyurk,keyword
dashnak,keyword
dashnaktsutyun,keyword
hunchak,keyword
hunchakian,keyword
ramgavar,keyword
agbu,keyword
asala,keyword
lavash,keyword
khorovats,keyword
tolma,keyword
dolma,keyword
gregorian,keyword
mesrop mashtots,keyword
komitas,keyword
aram khachaturian,keyword
charles aznavour,keyword
william saroyan,keyword
serj tankian,keyword
kim kardashian,keyword
alexis ohanian,keyword
cher,keyword
kirk kirkorian,keyword
tigranes the great,keyword
tigran mets,keyword
armenian alphabet,keyword
armenian language,keyword
armenian church,keyword
armenian genocide,keyword
armenian diaspora,keyword
