value,category
sargsyan,surname
grigoryan,surname
harutyunyan,surname
hovhannisyan,surname
khachatryan,surname
petrosyan,surname
vardanyan,surname
avetisyan,surname
hakobyan,surname
karapetyan,surname
stepanyan,surname
abrahamyan,surname
manukyan,surname
ghazaryan,surname
baghdasaryan,surname
sahakyan,surname
martirosyan,surname
gasparyan,surname
poghosyan,surname
margaryan,surname
sarkisian,surname
sarkisyan,surname
gregorian,surname
hartunian,surname
hovhanessian,surname
kachatrian,surname
petrossian,surname
vartanian,surname
avetissian,surname
hakopian,surname
garabedian,surname
karabedian,surname
stepanian,surname
abrahamian,surname
manoukian,surname
ghazarian,surname
baghdasarian,surname
sahakian,surname
martirosian,surname
gasparian,surname
poghosian,surname
margarian,surname
aznavour,surname
kardashian,surname
saroyan,surname
khachaturian,surname
tankian,surname
ohanian,surname
kirkorian,surname
pashinyan,surname
kocharyan,surname
ter-petrosyan,surname
sargsian,surname
grigorian,surname
